# Constructed from biom file
#OTU ID	MO1	MO2	MO3	MO4	MO5	MO6	MO7	MO8	MY1	MY2	MY3	MY4	MY5	MY6	MY7	MY8
4426641	10.0	0.0	113.0	0.0	0.0	0.0	57.0	0.0	2821.0	133.0	483.0	720.0	657.0	275.0	135.0	419.0
271689	243.0	239.0	61.0	102.0	96.0	142.0	389.0	134.0	74.0	137.0	72.0	0.0	79.0	100.0	105.0	82.0
311695	36.0	0.0	89.0	16.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
259580	9.0	0.0	0.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4471135	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
336810	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
333178	40.0	142.0	27.0	19.0	55.0	11.0	6.0	22.0	2761.0	17.0	143.0	88.0	26.0	448.0	808.0	810.0
327284	5.0	6.0	0.0	6.0	12.0	22.0	0.0	0.0	15.0	0.0	0.0	0.0	43.0	7.0	8.0	0.0
375106	9.0	7.0	9.0	16.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1112190	72.0	0.0	32.0	33.0	41.0	80.0	63.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
212170	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
267452	38.0	71.0	35.0	86.0	86.0	103.0	29.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
274021	34.0	45.0	89.0	14.0	140.0	39.0	23.0	89.0	0.0	0.0	13.0	0.0	28.0	0.0	0.0	32.0
267451	3.0	14.0	5.0	13.0	6.0	14.0	4.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
195385	38.0	0.0	37.0	0.0	100.0	29.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	15.0	44.0	0.0
188878	160.0	645.0	84.0	57.0	0.0	244.0	527.0	414.0	77.0	141.0	72.0	0.0	0.0	250.0	585.0	40.0
437137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	28.0	22.0	80.0	36.0	6.0	14.0	64.0
187673	9.0	87.0	93.0	98.0	40.0	51.0	0.0	31.0	58.0	71.0	22.0	554.0	16.0	49.0	61.0	38.0
1105958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
